chapter,section_number,section_title,text,
11,1,Sai as Sagun Brahma,"Let us now, in this chapter, describe the manifested
(Sagun) Brahma Sai, as to how He was worshipped
and how He controlled the elements.
Sai as Sagun Brahma
There are two aspects of God or Brahma : (1) the Unmanifested
(Nirgun) and (2) the Manifested (Sagun). The Nirgun is formless, while
the Sagun is with form, though, both denote the same Brahma. Some
prefer to worship the former, some the latter. As stated in the Gita
(chapter XIII) the worship of the latter is easy and preferable. As man
has got a form (body, senses, etc.), it is natural and easy for him to
worship the God with form. Our love and devotion do not develop,
unless we worship Sagun Brahma, for a certain period of time, and as
we advance, it leads us to the worship (meditation) of Nirgun Brahma.
So, let us start with Sagun worship. Image, altar, fire, light, sun, water,
Brahma are the seven objects of worship; but Sadguru is better than all
these. Let us, on this occasion, bring to our mind the form of Sai, Who
was non-attachment Incarnate, and Who was a resting-place for His
devotees. Our faith in His words is the Asan; and our Sankalpa
(determination to accomplish the Puja) is the abandonment of all our
desires. Some say that Sai was a Bhagwad-bhakta (devotee of the Lord),
others say He was a Maha-bhagwat (a great devotee); but to us He is
God Incarnate. He was ever forgiving, never irritable, straight, soft,
tolerant and content beyond comparison. Though, He looked embodied
(as having the form), He was really dis-embodied, emotionless,
unattached and internally free. The Ganges on its way to the sea, cools
and refreshes the creatures affected with heat, gives life to the crops and
trees, and quenches the thirst of many. Similarly, saints (Souls) like Sai,
while they live their own, give solace and comfort to all. Lord Krishna
has said that the saint is My soul, My living image, I am He or He is
My pure form (Being). This in-describable Shakti or Power of God,
known as Pure Existence, Knowledge and Bliss, incarnated in the form
of Sai in Shirdi. The Shruti (Taittiriya Upanishad) describes Brahma as
Pure Bliss. This, we read or hear daily in the books, but the devout
people experienced this Brahma or Bliss in Shirdi. Baba, the Support of
all, required no prop or Asan from anybody. He always used a piece
of sack-cloth for His seat, which was covered with a small mattress by
His bhaktas and had a bolster, placed by them, rest as His back. Baba
respected the feelings of His devotees and allowed them to worship
Him as they liked. Some waved Chamar or fans before Him, some
played on musical instruments, some washed His hands and Feet,
some others applied scent and Chandan, some gave betelnut with
leaves, and some others offered Naivaidya. Though, He looked like
living in Shirdi, He was present everywhere. This all-pervasiveness of
His was daily experienced by His devotees. Our humble prostration to
this all-pervasive Sadguru.",
11,2,Doctor Pandit's Worship,"One Dr. Pandit, a friend of Tatyasaheb Noolkar, once came to
Shirdi for Baba’s darshan. After saluting Baba, he sat in the Masjid for
some time. Baba asked him to go to Dadabhat Kelkar. He went to
Dadabhat, by whom he was well received. Then, Dadabhat left his
house for Puja and Dr. Pandit accompanied him. Dadabhat worshipped
Baba. Nobody, until then, dared to apply sandal paste to Baba’s
forehead. Only Mhalsapati used to apply it to His neck. But, this simplehearted,
Dr. Pandit, took Dadabhat’s dish containing Puja-materials
and taking sandal-paste out of it, drew a Tripund, i.e., three horizontal
lines on Baba’s forehead. To the surprise of all, Baba kept silent, not
uttering a single word. Then, Dadabhat, that evening, asked Baba,
“How is it, that, though You object to the sandal-paste, being applied
by others to Your forehead; You allowed Dr. Pandit to do so?” Baba
replied that Dr. Pandit believed Him to be the same as his Guru,
Raghunath Maharaj of Dhopeshwar, known as Kaka Puranik and he
applied the paste to His forehead, as he was doing to his Guru. Hence,
He could not object. On enquiry, Dr. Pandit told Dadabhat that he took
Baba as his Guru Kaka Puranik and realized Him as the same hence,
he marked the Tripund on Baba’s forehead, as he did on his Guru’s.
Though, Baba allowed the devotee to worship Him as they pleased,
still some times, He acted in a strange way. Some times, He threw away
the Puja-dish and was wrath Incarnate, then, who could approach
Him? Some times, He scolded the devotees; at times, He looked softer
than wax, a statue of peace and forgiveness. Though, He seemed to
shake with anger and His red eyes rolled round, still, He was internally,
an ocean of affection and motherly love. He would call out His devotees
and say, that He never knew, when He was ever angry with them. If
it was possible that mothers could kick their children and the sea turn
back the river He too could neglect the devotees’ welfare; that He, the
Slave of His devotees, always stood by them, and responded to them,
whenever they called upon Him and that, He always longed for their
love.",
11,3,Haji Sidik Falke,"There was no knowing, as to when Baba would accept a devotee.
That depended on His will. Siddik Falke’s story is to the point. One
Mohammeden gentleman, by name Siddik Falke of Kalyan, after making
pilgrimage to Mecca and Madina, came to Shirdi. He lived in the
Chavadi, facing north and sat in the open court-yard of the Masjid. For
nine months, Baba ignored him and did not allow him to step into the
Masjid. Falke felt disconsolate and did not know, what to do. Somebody
advised him not to be disappointed but to try to approach Baba through
Shama (Madhavrao Deshpande), a close and intimate devotee of Baba.
He told him that as they approach the Lord Shiva through his servant
and devotee, Nandi, so should Baba be approached through Shama.
Falke liked the idea and implored Shama to intercede for him. Shama
agreed and on a convenient occasion spoke to Baba about him thus,
“Baba, why don’t You allow the old Haji to step into the Masjid, while
so many persons freely come and go, after taking Your darshan; why
not bless him once?” Baba replied, “Shama, you are immature to
understand things. If the Fakir (Allah) does not allow, what can I do?
Without His grace, who will climb into the Masjid? Well, go to him and
ask him, whether he will come to the narrow footpath near the Barvi
well.” Shama went and returned with an affirmative answer. Again
Baba said to Shama, “Ask him, whether he is willing to pay Me the sum
of Rs. 40,000/- in four instalments”. Shama went and returned with the
answer, that he was willing to pay even forty lacs. Again Baba said to
Shama, “We are going to cut a goat in the Masjid, so, ask him, whether
he would like to have its meat haunch or testicles of the goat.” Shama
returned with the answer that the Haji would be happy to receive a
small crumb from Baba’s Kolamba (mudpot). Hearing this, Baba got
excited and with His hands threw away the earthen jars and Kolamba,
and straightway advanced to the Haji and lifting His Kafni up in arms
said, “Why do you brag and pose yourself as an old Haji? Do you read
Quran like this? You are proud of your pilgrimage to Mecca; but you
do not know Me.” Being thus scolded, the Haji was confounded. Baba,
then, went back to the Masjid, purchased a basket of mangoes and sent
them to the Haji. Then again, Baba went to the Haji, and taking out Rs.
55/- from His pocket, gave them in Haji’s hand. Thenceforth, Baba",
11,4,Baba's Control over the Elements,"We shall close this chapter, after describing two incidents, showing
Baba’s control over the elements. (1) Once, at evening time, there was
a terrible storm at Shirdi. The sky was overcast with thick black clouds.
Winds began to blow with great force, clouds roared and lightening
began to flash and rains startedpouring in torrents. In a short time, the
whole place was flooded with water. All creatures, birds, beasts and
men got terribly frightened, and they all flocked to the Masjid for shelter.
There are many local Deities in Shirdi but none of them came to their
rescue. So, they all prayed to Baba – their God, Who was fond of their
devotion, to intercede and quell the storm. Baba was much moved. He
came out and standing at the edge of the Masjid, addressed the storm
in a loud and thunderous voice, “Stop, stop your fury and be calm!”
In a few minutes, the rains subsided, the winds ceased to blow, and the
storm came to a stop. Then, the moon rose in the sky and people went
back home well-pleased. (2) On another occasion at noon the fire in the
Dhuni began to burn brightly, its flames were seen to be reaching the
rafters above.The people who were sitting in the Masjid, did not know,
what do do. They dared not to ask Baba to pour water or do anything
to quench the flames. But Baba soon came to realize, what was
happening. He took up His Satka (short stick) and dashed it against a
pillar in front, saying, “Get down, Be calm”. At each stroke of the Satka,
the flames began to slow down, and in a few minutes the Dhuni became
calm and normal.
This is our Sai, an Incarnation of God. He will bless any man, who
will prostrate and surrender himself to Him. He, who will read the
stories of this chapter daily, with faith and devotion, will soon be free
from all calamities not only this, but always attached and devoted to
Sai, he will get very soon God-vision, all his desires will be fulfilled and
being ultimately desireless, he will attain the Supreme. Amen!
Bow to Shri Sai – Peace be to all",
12,1,Saints' Mission,"We have seen before, that the purpose or object of Divine
Incarnation is to protect the good and destroy the wicked. But, the
mission of the saints is quite different. To them the good and the
wicked are the same. First they draw the evil-doers and set them on
the right path. They are the Agasti1 to destroy the Bhava-sagar (the
ocean of worldly existence) or the sun to destroy the darkness of
ignorance. The God dwells in the saints. In fact, they are not different
from Him. Our Sai is One of these, Who incarnated for the welfare
of the devotees. Supreme in knowledge and surrounded with divine
aura, He loved all beings equally. He was unattached. Foes and
friends, kings and paupers, all were same to Him. Hear His Leelas!
For the sake of devotees, He gave His stock of merits and was ever
alert to help them. But, the devotees could never approach Him,
unless He meant to receive them. If their appointed time did not
come, they did not remember Baba, and His Leelas could not reach
their ears. Then, how could they think of seeing Him? Some men
desired to see Sai Baba, but they did not get any opportunity of
taking His darshan, till His Mahasamadhi. There are many such
persons, whose desire for Baba’s darshan was not thus satisfied.
If these persons, believing in Him, listen to His Leelas, there quest
for darshan will be, to a great extent, satisfied by the Leelas. Even
if some persons went there by sheer luck and took Baba’s darshan,
were they able to stay there longer? No. Nobody could go there of
his own accord and nobody could stay there longer if Baba did not
wish so. They could stay there, so long as Baba pemitted them to
stay, and had to leave the place, when asked to do so by Him so,
everything depended on Baba’s divine will.",
12,2,Kaka Mahajani,"Once, Kaka Mahajani went to Shirdi from Mumbai. He wanted to
stay there for one week and enjoy the Gokul Ashtami festival. As soon
as he took Baba’s darshan, Baba asked him, “When are you returning
home?” He was rather surprised at this question, but he had to give an
answer. He said that he would go home, when He ordered him to do
so. Then, Baba said, “Go tomorrow!” Baba’s word was law and had to
be obeyed. Kaka Mahajani, therefore, left Shirdi, immediately. When he
went to his office in Mumbai, he found his employer anxiously waiting
for him. His Munim, i.e. the manager, suddenly fell ill, hence, Kaka’s
presence was absolutely necessary. He had sent a letter to Kaka at
Shirdi, which was redirected to him at Mumbai.",
12,3,Bhausaheb Dhumal,"Now, listen to another story. Once, Bhausaheb Dhumal was going
to Niphad for a case. On the way, he came to Shirdi, took Baba’s
darshan and wanted to proceed to Niphad immediately. But, Baba did
not premit him to do so. He made him stay at Shirdi, for a week or more.
In the meanwhile, the magistrate at Niphad suffered intensely from
pain in his abdomen and the case was adjourned. Mr. Dhumal was
then, allowed to go and attend to his case. It went on for some months
and was tried by four magistrates. Ultimately, Mr. Dhumal won the case
and his client was acquitted.",
12,4,Mrs. Nimonkar,"Mr. Nanasaheb Nimonkar, Watandar of Nimon and Honorary
magistrate, was staying at Shirdi with his wife. Mr. and Mrs. Nimonkar
were spending most of their time in the Masjid with Baba and serving
Him. It so happened, that their son fell ill at Belapur and the mother
decided, with Baba’s consent, to go to Belapur and see her son and
other relatives, and stay there for a few days, but Mr. Nanasaheb asked
her to return the next day. The lady was in a fix and did not know, what
to do, but her God Sai came to her help. While leaving Shirdi, she went
to Baba, Who was standing in front of Sathe’s wada, with Mr. Nanasaheb
and others, and prostrated at His Feet and asked His permission to go.
Baba said to her, “Go, go quickly, be calm and unperturbed. Stay
comfortably at Belapur for four days! See all your relatives and then
return to Shirdi!” How opportune were Baba’s words! Mr. Nanasaheb’s
proposal was overruled by Baba’s decree.",
12,5,Mule Shastri of Nasik,"An orthodox Agnihotri Brahmin of Nasik, Mule Shastri, who had
studied the six Shastras and was well-versed in astrology and palmistry,
once came to Shirdi to see Mr. Bapusaheb Buti, the famous millionaire
of Nagpur. After seeing him, he and others, went to see Baba in the
Masjid. Baba bought various fruits and other things from vendors with
His own money and distributed them to the people present in the
Masjid. Baba used to press the mango on all sides so skillfully that
when Baba sucked it, he got all the pulp at once in his mouth and could
throw away the seed. Plantains were peeled off by Baba and the pulp
was distributed to the devotees, while the skins were retained by Baba
for Himself. Mule Shastri, as a palmist, wanted to examine Baba’s palm
and asked Him to extend His hand. Baba ignored his request and gave
four plantains to him. Then, they all returned to the Wada and Mule
Shastri bathed, wore fresh clothes and started his routine duties, viz.
Agnihotra etc. Then, Baba as usual started for Lendi and said, “Take
some Geru (i.e. a red miry substance, used to dye clothes in saffroncolour),
we shall today don saffron-coloured cloth. None understood,
what Baba meant. Then after some time, when Baba returned and
preparations for the noon-Arati1 were being made, Bapusaheb Jog asked
Mule Shastri, whether he would accompany him for the Arati. He
replied that he would see Baba in the afternoon. Baba sat on his seat,
was worshipped by the devotees and Arati commenced. Then, Baba
said, “Get some Dakshina from the new (Nasik) Brahmin.” Buti himself
went to the Wada to get the Dakshina and when he gave Baba’s
message to Mule Shastri, he was sorely perplexed. He thought in his
mind thus, “I am a pure Agnihotri Brahmin, why should I pay Dakshina?
Baba may be a great Saint. I am not His dependent.” But, since a great
Saint, like Sai baba was asking for Dakshina through a millionaire like
Buti, he could not refuse. So, leaving his routine unfinished, he started
with Buti for Masjid. Thinking himself holy and the Masjid otherwise,
he remained at a distance, and after joining his palms threw flowers at
Baba from there. Then, lo! all of a sudden, he saw not Baba but his late
Guru Gholap Swami there. He was wonder-struck. Could this be a
dream? No, it was not, as he was wide awake, but how could his late
Guru Gholap be there? He was speechless for some time. He pinched
himself and thought again, but could not reconcile to the fact of his late
Guru Gholap being in the Masjid. Ultimately, leaving aside all doubt,
he went up, fell at his Guru’s feet and then, stood there with folded
hands. Other people sang Baba’s Arati, while Mule Shastri chanted
loudly his Guru’s name. Then, casting off all pride of caste and
sacredness, he fell at his Guru’s feet and closed his eyes. When he got
up and opened his eyes, he saw Baba asking for Dakshina. Seeing
Baba’s blissful form and His inconceivable power, Mule Shastri forgot
himself. He was extremely pleased, his eyes were full of tears of joy. He
again saluted Baba and gave the Dakshina. He said that his doubt was
removed and he saw his own Guru. On seeing this wonderful Leela of
Baba all the people, including Mule Shastri, were much moved and they
realized the meaning of Baba’s words, “Bring Geru, we shall don
saffron-coloured clothes.” Such is the wonderful Leela of Baba.",
12,6,A Doctor's Experience,"Once a Mamlatdar came to Shirdi, with a doctor friend of his. The
doctor said that his Deity was Ram and that, he woud not bow before
a Mohammeden and so, he was unwilling to go to Shirdi. The Mamlatdar
replied, that nobody would press him to bow down. So, he should come
and give the pleasure of his company. Accordingly, they reached Shirdi
and went to the Masjid for Baba’s darshan. All were wonder-struck to
see, the doctor going ahead and saluting Baba. They asked him, how
he forgot his resolve and bowed down to a Mussalman. Then, the
doctor replied that, he saw his beloved Deity, Ram, on the seat and he
therefore, prostrated himself before Him. Then, as he was saying this,
he again saw, Sai Baba there. Being dismayed, he again said, “Is this
a dream? How could He be a Mohammeden? He is a great
Yogasampanna (full of Yoga) Avatar.”
Next day, he made a vow and began to fast. He absented himself
from the Masjid, resolving not to go there, until Baba blessed him. Three
days passed and on the fourth day, a close friend of his, from Khandesh,
turned up; and with him, he went to the Masjid for Baba’s darshan.
After the salutation, Baba asked him, whether anybody had gone to call
him that he had come. Hearing this vital question, the doctor was
moved. The same night he was blessed by Baba and he experienced
Bliss Supreme, in his sleep. Then, he left for his town where he remained
in the same state for a fortnight. Thus, his devotion for Sai Baba increased
manifold.
The moral of all the stories mentioned above, specially, that of
Mule Shastri, is that, we should have firm faith in our Guru and on
none else.
More Leelas of Sai Baba will be described in the next chapter.
Bow to Shri Sai – Peace be to all",
13,1,The Inscrutable Power of Maya,"Baba’s words were always short, deep, full of meaning, effective
and well-balanced. He was ever content and never cared for anything.
He said, “Though I am a Fakir, have no house or wife, and though,
leaving all care, I stay at one place, the inevitable Maya teases Me often.
Though, I forgot Myself but she cannot forget Me. She always envelops
Me. This Maya (illusive power) of the Lord (Shri Hari) harrasses even
Lord Brahma and others, then, what to speak of a poor Fakir, like Me?
Those, who take refuge in God, will be freed from Her clutches with His
grace.”
In such terms Baba spoke about the power of Maya. Lord Shri
Krishna has said to Uddhava in the Bhagwat that the saints are His
living forms and see, what Baba has said for the welfare of His devotees,
“Those, who are fortunate and whose demerits have vanished, take
to My worship. If you always say “Sai, Sai”, I shall take you over the
seven seas believe in these words, and you will be certainly benefitted.
I do not need any paraphernalia of worship – either eight-fold or
sixteen-fold. I rest there, where there is full devotion.” Now, read,
what Sai did for the welfare of those who surrendered themselves to
Him.",
13,2,Bhimaji Patel,"One Bhimaji Patil of Narayangaon, Taluka Junnar, Distt. Poona,’
suffered in the year 1909 from a severe and chronic chest-disease,
which ultimately developed into tuberculosis. He tried all sorts of pathies
(remedies) but to no effect. Losing all hopes, he ultimately prayed to
God, “Oh Lord Narayan, help me now!” It is a well-known fact that,
when our circumstances are well, we do not remember God but when
calamities and adversities overtake us, we are reminded of Him. So,
Bhimaji now turned to God. It occured to him that, he should consult
Mr. Nanasaheb Chandorkar, a great devotee of Baba, in this respect. So,
he wrote to him a letter, giving all details of his malady and asking for
his opinion. In reply, Mr. Nanasaheb wrote to him that, there was only
one remedy left; and that was to take recourse to Baba’s Feet. Relying
on Mr. Nanasaheb’s advice, he made preparations for going to Shirdi.
He was brought to Shirdi and taken to the Masjid and placed before
Baba. Mr Nanasaheb and Shama (Madhavrao Deshpande) were present
there. Baba pointed out that, the disease was due to the previous evil
Karma and was not disposed to interfere. But the patient cried out in
despair that, he was helpless and, sought refuge in Him, as He was his
last hope and prayed for mercy. Baba’s heart melted and He said, “Stay,
cast off your anxiety, your sufferings have come to an end. However,
oppressed and troubled one may be, as soon as he steps in the
Masjid, he is on the pathway to happiness. The Fakir here is very kind
and He will cure the disease and protect all with love and kindness.”
The patient used to vomit blood every five minutes, but there was no
vomitting in the presence of Baba. From the time, Baba uttered the
words of mercy, the malady took a favourable turn. Baba asked him to
stay in Bhimabai’s house, which was not a convenient and fit place but
Baba’s order had to be obeyed. While he was staying there, Baba cured
him by two dreams. In the first dream, he saw himself as a boy, suffering
the severe pain of a flogging, which he received for not reciting his
poetry lesson before his class-master. In the second dream, someone
caused him intense pain by rolling a stone up and down over his chest.
With the pain, thus suffered in dream, his cure was complete and he
went home. He then, often came to Shirdi, gratefully remembering what
Baba did for him and prostrated before Him. Baba also did not expect
anything from devotees but remembrance, unswerving faith and
devotion. People in Maharashtra always celebrate Satya-Narayan Puja
in their homes every fortnight or month but, it was this Bhimaji Patil,
who started a new Sai Satya-vrata Puja, instead of Satya-Narayan-vrata
Puja, in his house, when he returned to his village.",
13,3,Bala Ganpat Shimpi,"Another devotee of Baba, by name Bala Ganpat Shimpi, suffered
much from a malignant type of malaria. He tried all sorts of medicines
and decoctions, but in vain. The fever did not abate a jot and so, he ran
to Shirdi and fell at Baba’s Feet. Baba gave him a strange recipe, in this
case as follows: “Give a black dog some morsels of rice mixed with curd
in front of the Laxmi temple!” Bala did not know, how to execute this
recipe but no sooner he went home, then, he found rice and curd. After
mixing them together, he brought the mixture near the Laxmi temple,
where he found a black dog waving its tail. He placed the curd and rice
before the dog. The dog ate it and, strange to say, Bala got rid of his
malaria.",
13,4,Bapusaheb Buti,"Shriman Bapusaheb Buti suffered, once from dysentery and
vomitting. His cupboard was full of patent drugs and medicines; but
none of them had any effect. Bapusaheb got very weak, on account of
purgings and vomittings and therefore, was not able to go to the Masjid
for Baba’s darshan. Baba then, sent for him and made him sit before
Him and said, “Now, take care, you should not purge any more,” and
gestured with His index-finger, “The vomitting must also stop.” Now,
look at the power of Baba’s words. Both the maladies disappeared and
Buti felt well.
On another occasion, he had an attack of cholera and suffered
from severe thirst. Dr. Pillai tried all sorts of remedies, but could give
him no relief. Then, he went to Baba and consulted Him as, to what to
drink, that would allay his thirst and cure the disease. Baba prescribed
an infusion of almonds, walnuts, pistachio (a kind of dry fruit), boiled
in sugared milk. This would be considered a cause for fatal aggravation
of the disease by any other doctor or physician, but in implicit obedience
to Baba’s order, the infusion was administered and strange to say, the
disease was cured.",
13,5,Alandi Swami,"A Swami from Alandi, with a desire for Baba’s darshan, came to
Shirdi. He suffered from severe pain in his ear, which prevented him
from getting sleep. He was operated for this, but it served no purpose.
The pain was severe and he did not know what to do. While he was
returning, he came to take Baba’s leave, when Shama (Madhavrao
Deshpande) requested Baba to do something for the pain in the Swami’s
ear. Baba comforted him saying, “Allah Accha Karega (God will do
good)!” The Swami, then, returned to Poona, and after a week sent a
letter to Shirdi, stating that the pain in his ear had subsided, though the
swelling was there and in order to get the swelling removed, he went
to Mumbai for operation but the surgeon on examining the ear said that,
no operation was necessary. Such was the wonderful and potent effect
of Baba’s words!",
13,6,Kaka Mahajani's Health,"Another devotee, named Kaka Mahajani, suffered once from
diarrhoea. In order that, there should be no break in his services to
Baba, Kaka kept a Tambya (pot) with water in some corner of the Masjid
and whenever there was a call, he would go out. As Sai Baba knew
everything, Kaka did not inform Him of his disease, thinking that, Baba
would of His own cure it soon. The work of constructing the pavement
in front of the Masjid was permitted by Baba but when the actual work
began, Baba got wild and shouted out loudly. Everybody ran away and
as Kaka was also doing the same, Baba caught hold of him and made
him sit there. In the confusion that followed, somebody left a small
pouch of groundnuts there. Baba took a handful of groundnuts, rubbed
them in His hands, blew away the skins and gave the clean nuts to
Kaka and made him eat them. Scolding and cleaning the nuts and
making Kaka eat them, went on simultaneously. Baba Himself ate some
of them. Then, when the nuts were finished, Baba asked him to fetch
water, as He felt thirsty. Kaka brought a pitcher full of water. Then,
Baba drank some water and made Kaka also drink it. Baba declared,
“Now, your diarrhoea has stopped and you may attend to the work of
the pavement.” In the meanwhile other people, who had run away,
returned and started the work, and Kaka, whose motions had stopped,
also joined them. Are groundnuts medicine for diarrhoea? According to
current medical opinion, groundnuts would aggravate the disease and
not cure it. The true medicine, in this, as in other cases, was Baba’s
word.",
13,7,Dattopant of Harda,"A gentleman from Harda, by name Dattopant, suffered from
stomach-ache for about fourteen years. None of the remedies gave him
any relief. Then, on hearing Baba’s fame, that He cures diseases by
sight, he ran to Shirdi and fell at Baba’s Feet. Baba looked at him kindly
and gave him blessings. When Baba placed His hand on his head and
gave him udi with blessings, he felt relieved and there was no further
trouble about the malady.
Towards the end of this chapter, three cases are cited in footnotes :
1. Madhavrao Deshpande suffered from piles. Baba gave him
decoction of Sonamukhi (senna pods). This relieved him. Then,
after two years the trouble reocurred and Madhavrao took the
same decoction without consulting Baba. The result was that,
the disease aggravated, but later on it was cured by Baba’s
grace.
2. Kaka Mahajani’s elder brother, Gangadharpant, suffered for
many years from stomach-pain. Hearing Baba’s fame he came
to Shirdi and requested Baba to cure him. Baba touched his
belly and said, “God will cure.” From that time, there was, no
stomach-pain and he was completely cured.
3. Nanasaheb Chandorkar also once suffered from acute stomachpain,
he was restless the whole day and night. Doctors
administered injections, which produced no effect. Then he
approached Baba, Who told him to eat burfi (a kind of
sweetmeat) mixed with ghee. This recipe gave him complete
relief.
All these stories show that, the real medicine that cured the various
diseases permanently, was Baba’s word and grace, and not any
medicines or drugs.
Bow to Shri Sai – Peace be to all",
